"노드 ID","정류소번호","정류소명","X좌표","Y좌표","정류소 타입"
"06586","105900045","답십리건축자재시장","127.0534863549","37.567473882","마을버스"
"06587","105900046","답십리쌍마사거리","127.0552015711","37.5661899369","마을버스"
"06588","105900047","부속상가","127.0566146653","37.5651430993","마을버스"
"06591","105900002","고려대역3번출구","127.0365261369","37.5904833874","마을버스"
"06594","105900001","의료원입구사거리","127.052658489","37.5926993775","마을버스"
"06595","105900054","삼육서울병원","127.0622219909","37.5902762019","마을버스"
"06626","105000316","장안삼거리","127.0723517263","37.5780291247","일반차로"
"06628","105000318","장안사거리","127.0720255408","37.5732093887","일반차로"
"06629","105000319","장안사거리","127.0716864575","37.5737862935","일반차로"
"06631","105000321","장한평역","127.0667268548","37.5613847656","일반차로"
"06755","105000407","청량리역","127.046268","37.580477","일반차로"
"06756","105000408","서울시립대입구","127.0538030705","37.5828562643","일반차로"
"06757","105000409","전농동사거리","127.0571016136","37.5772526361","일반차로"
"06758","105000410","신답역","127.0477839986","37.5705481504","일반차로"
"06768","105000420","장안삼거리","127.0719971746","37.5778473212","일반차로"
"06774","105000426","신설동역오거리.서울풍물시장","127.0234166489","37.5742755859","일반차로"
"06775","105000438","경동시장앞","127.0386578148","37.58056802","일반차로"
"06776","105000555","경동시장사거리","127.038109149","37.5772293536","일반차로"
"06777","105000429","힐스테이트장안센트럴","127.0704788124","37.5705802667","일반차로"
"06778","105000430","힐스테이트장안센트럴","127.0707390026","37.5703410911","일반차로"
"06779","105000489","동답초교.대림아파트","127.0652298839","37.5712072227","일반차로"
"06780","105000557","정화여중.정화고등학교","127.0417530049","37.5868028035","일반차로"
"06781","105000556","정화여중.정화고등학교","127.0418434744","37.5866113105","일반차로"
"06999","105000440","동대문노인종합복지관","127.0492581619","37.5863103228","일반차로"
"07001","106000001","망우역","127.0911385806","37.5978283589","중앙차로"
"07002","106000002","망우역","127.0904651716","37.5976031898","중앙차로"
"07003","106000003","상봉역.중랑우체국","127.0837435605","37.5959590869","중앙차로"
"07004","106000004","상봉역.중랑우체국","127.0833008263","37.5957231398","중앙차로"
"07005","106000005","중랑역.동부시장","127.076052048","37.5939710999","중앙차로"
"07006","106000006","중랑역.동부시장","127.0749381812","37.5936152929","중앙차로"
"07007","106000434","망우역.망우지구대","127.0953897414","37.5988449322","중앙차로"
"07008","106000435","망우역.망우지구대","127.0948710737","37.5985580019","중앙차로"
"07009","106000433","우림시장.망우사거리","127.0986406612","37.5995720624","중앙차로"
"07010","106000432","우림시장.망우사거리","127.0982214008","37.5993651842","중앙차로"
"07011","106000431","금란교회","127.1040333871","37.6005297976","중앙차로"
"07012","106000430","금란교회","127.1033574704","37.6003640418","중앙차로"
"07013","106000428","동부제일병원.망우역사문화공원","127.1089021873","37.6004643043","중앙차로"
"07014","106000429","동부제일병원.망우역사문화공원","127.107756","37.600478","중앙차로"
"07101","106000007","극동늘푸른아파트","127.0764039758","37.6147026458","가로변시간"
"07102","106000008","묵동자이.신도브래뉴아파트","127.0765885798","37.6152702687","일반차로"
"07103","106000009","묵동삼거리.먹골역","127.0771199228","37.6125566965","가로변시간"
