정제역명,지하철_총하차,위도,경도,주변_버스_하차,주변_상가_수,총_유입_인구,혼잡_가성비_지수
북한산보국문,183818,37.6121317951638,127.008299068103,440495.3661280437,203,624313.3661280437,3.25156701517206
수유,1056561,37.6398219485414,127.027222545302,1688317.8431685474,891,2744878.8431685474,3.2460437283530625
아차산,491298,37.5542524123927,127.086348414384,475442.2678609836,311,966740.2678609836,3.2169931122121236
고려대,282991,37.5896788870261,127.035926346178,467632.775772875,241,750623.775772875,3.210658744268816
반포,205016,37.5083115993659,127.011859892376,290742.75181239314,158,495758.75181239314,3.1870275758043145
상월곡,193499,37.6070862978112,127.04983056816,155397.2264718237,111,348896.2264718237,3.181452633558386
흑석,303956,37.5085022297878,126.964009105551,701975.685738973,320,1005931.685738973,3.1811273710121393
대림,1069779,37.493431823863,126.894799692903,523294.9018841611,504,1593073.9018841612,3.1636930530002654
돌곶이,341886,37.6106059403082,127.057146932195,499130.62918697053,266,841016.6291869705,3.1628350080740617
사평,119380,37.5039799987575,127.015855327913,203915.81984032103,102,323295.819840321,3.1549954636231385
신정,339398,37.5247297747086,126.854286772379,650282.8431456495,311,989680.8431456495,3.142424023982329
연신내,1106955,37.6189326042759,126.920853043578,1298860.7692620396,753,2405815.7692620396,3.1299141714394785
신반포,155154,37.5037301809483,126.996852672356,375490.25825551216,162,530644.2582555122,3.0528869801375857
등촌,358657,37.5511722244569,126.864819800733,901744.3499903068,382,1260401.349990307,3.030778227309222
불광,681397,37.610345423012,126.92990725913,840066.3246251488,460,1521463.324625149,3.0234031291751293
서대문,517889,37.5661806269927,126.966945356195,1104472.5220346209,489,1622361.5220346209,3.0141228816524945
노원,1410904,37.656115126703,127.062396487596,880479.4534103001,690,2291383.4534103,3.0112799228128795
한티,481262,37.4992234916098,127.051561433136,933673.1199441666,426,1414935.1199441666,3.010736626165215
까치산,805389,37.5325400173123,126.84626068468,826819.6274285814,490,1632208.6274285815,3.002065370561235
자양,399642,37.5315323,127.0667418,83102.34950500235,144,482744.3495050024,2.9829391447821254
잠실나루,447964,37.5189317346279,127.104756814328,212731.10875113172,196,660695.1087511317,2.966568099976936
신림,1747960,37.4841196518392,126.928712092948,1524639.406715239,967,3272599.406715239,2.954836765331192
개롱,195909,37.4989326571797,127.133066334778,332449.7503908257,155,528358.7503908257,2.933607260684545
교대,1276265,37.4948693588388,127.017320865284,291804.31742155977,460,1568069.3174215597,2.9335419138371055
동묘앞,801386,37.5735966798012,127.017139169849,716231.4104106113,445,1517617.4104106114,2.9322258938569377
천호,1275336,37.5385036573161,127.125111736335,977458.6739650709,660,2252794.673965071,2.9296931258677175
구로,525766,37.5025802339725,126.882154432393,358685.8999175946,259,884451.8999175946,2.9283639640294163
구반포,68243,37.5016379257319,126.986315856936,85701.74339523954,45,153944.74339523952,2.923107778593607
응암,538256,37.598807448195,126.914481913318,629211.6364517321,341,1167467.6364517321,2.9208493432114424
구의,827341,37.5383212423161,127.090767117028,576767.0225132172,409,1404108.0225132173,2.9128792240643118
신설동,620583,37.5764587007057,127.025960657786,881936.2060137296,432,1502519.2060137296,2.875169320658391
제기동,507862,37.5782714117807,127.038773703339,1030214.0189061651,439,1538076.0189061651,2.8542133755577717
성수,1948256,37.5446825313814,127.056982849675,110802.23558396012,585,2059058.23558396,2.8411033052873336
양천구청,211871,37.5125616165928,126.865742193066,184180.3907398688,112,396051.3907398688,2.8279086963917033
홍대입구,3204078,37.5568904093718,126.923674307594,1636556.0262359125,1365,4840634.026235912,2.8198779552719695
잠실새내,731532,37.5115492555086,127.089194396018,417944.9195393182,324,1149476.9195393182,2.818670933060211
행당,210997,37.5572784369263,127.029232035475,468370.9442858892,191,679367.9442858892,2.811432603837484
애오개,190661,37.5533624029594,126.95661326016,525078.6280651136,201,715739.6280651136,2.8082798728831455
장지,473220,37.4776281970976,127.126553391079,321569.186903191,223,794789.186903191,2.805771934211895
화곡,803638,37.5412338197326,126.840795822727,884339.5422719457,466,1687977.5422719456,2.760698600900366
광나루,344788,37.5451703449549,127.103502954805,181310.12442373167,145,526098.1244237317,2.7561346002776053
마장,172345,37.5672050772282,127.044518529042,159520.44359284293,91,331865.4435928429,2.7420669295400413
화랑대,296516,37.6198958838749,127.08328701138,502390.866973872,219,798906.8669738721,2.741242251494343
금천구청,331253,37.4569216623088,126.894200511739,396408.5730267238,197,727661.5730267238,2.7072987852127044
가산디지털단지,1620345,37.4824136254197,126.882240156863,727418.2328932837,634,2347763.2328932835,2.700441514174895
신풍,336619,37.500309862029,126.909401051821,330998.3849522126,180,667617.3849522127,2.696151035638184
신금호,201485,37.5549485904848,127.019938409871,264002.0179451618,125,465487.0179451618,2.685353761667094
한성대입구,486246,37.588074768504,127.005810138183,821916.6879648919,351,1308162.687964892,2.6831504591451405
동대입구,432649,37.5592132324209,127.005112524253,283896.9278996021,192,716545.9278996021,2.6795174541157447
거여,296196,37.4942864602293,127.141950548563,351380.57711276284,170,647576.5771127628,2.625168103533607
가좌,173604,37.5693788129615,126.913682233945,671526.7273465877,220,845130.7273465877,2.603144490749644
동대문역사문화공원,1275383,37.565774720382,127.008561501324,736521.416244831,514,2011904.416244831,2.554792068502741
여의도,1629448,37.5228127393231,126.92303459092,822708.2605406418,626,2452156.260540642,2.5528542156467653
독산,459026,37.4665137152714,126.8892550997,282950.6106445438,188,741976.6106445438,2.533769177168129
서울대입구,1381590,37.4812432482705,126.951616302678,1678114.9193074973,775,3059704.9193074973,2.5329231646399717
방배,533304,37.4813404326584,126.997340567559,454354.3062177008,250,987658.3062177008,2.5312372234651406
장승배기,285468,37.5043191168216,126.938093666452,708185.3745966604,245,993653.3745966604,2.4656460663140467
창신,94970,37.5794496262255,127.015189795434,229439.80487804877,79,324409.8048780488,2.435183995480587
버티고개,66667,37.5481873499125,127.007066424918,139100.4116161616,50,205767.4116161616,2.4299162153843863
목동,521614,37.5260062180692,126.866158399555,1011572.4391735743,369,1533186.4391735743,2.406750737528218
청담,556070,37.5187222361325,127.049208534359,223498.079187297,187,779568.079187297,2.3987611231957535
영등포,1349340,37.5159748715236,126.907035121749,1815271.8731888076,757,3164611.8731888076,2.392077736943579
관악산,117143,37.4687357,126.945328,215097.07768895145,79,332240.07768895145,2.377791468457758
솔샘,165342,37.6202271595479,127.013377362071,247460.85505098963,98,412802.85505098966,2.3740088373907025
아현,320397,37.5547628142081,126.95658709769,737702.5350966973,251,1058099.5350966973,2.3721753432159614
금호,228627,37.5481125196986,127.015893753726,434625.23176214314,156,663252.2317621431,2.3520428175756702
봉은사,713734,37.5147709657409,127.063236452081,512681.8796387978,288,1226415.8796387978,2.348304273868289
신대방,725820,37.4875502276404,126.91296044203,346140.50835710415,249,1071960.5083571041,2.322844598978364
상도,373781,37.5035176275604,126.947286908877,665078.3435023983,241,1038859.3435023983,2.319849838405576
홍제,541693,37.5873166457317,126.94584271759,902714.5395374163,333,1444407.5395374163,2.3054419223154548
창동,892584,37.6533788613099,127.047681741082,620634.5148991195,347,1513218.5148991195,2.293124008667924
미아사거리,790241,37.6149930490815,127.030033187155,1389195.6410830813,497,2179436.6410830813,2.2804047733754547
쌍문,823710,37.6490575706429,127.035086481532,860503.9549348077,382,1684213.9549348077,2.2681190359979104
회현,932726,37.5576877320082,126.976719543256,1888245.3315949342,636,2820971.331594934,2.2545417864499773
고덕,304633,37.5556257920114,127.15385486024,417167.14243109844,162,721800.1424310985,2.24438547512363
한강진,392762,37.5408072813726,127.00184085731,277894.1744045072,150,670656.1744045073,2.236612172727275
구로디지털단지,1605247,37.4854463023684,126.900861931696,1342304.0471760354,656,2947551.047176035,2.2255756285236585
숭실대입구,461416,37.4958255906939,126.954053114921,556523.6108729775,225,1017939.6108729775,2.2103450593943967
대청,289952,37.4936590146577,127.079560409457,246087.77722977538,118,536039.7772297754,2.2013250672797033
염창,514484,37.5470660710582,126.875181298786,603293.1351453129,243,1117777.1351453129,2.1739555673846636
석계,649879,37.6158788397271,127.065393025369,618813.2099018402,275,1268692.2099018402,2.1675847072695924
노량진,1105059,37.5135851365497,126.940904491209,1029082.3220227754,456,2134141.322022775,2.136689738516575
정릉,134425,37.6026413699369,127.013505689707,705419.4210347978,176,839844.4210347978,2.0956237373199618
학여울,79649,37.4967336913341,127.071840101329,197769.6458820984,58,277418.6458820984,2.0906954810492993
용산,1606889,37.5297680649234,126.964300393659,708359.2044450996,482,2315248.2044450995,2.0818493278157586
낙성대,833787,37.4766620778454,126.964610228555,669377.2003126953,312,1503164.2003126955,2.0756201642713408
양재,1111777,37.4847788607946,127.03338417886,1437263.1026626898,524,2549040.10266269,2.055674973042363
옥수,300051,37.5399200863565,127.017224015058,264030.63676503435,113,564081.6367650344,2.0032525845511806
중계,410823,37.6426991530745,127.065182099347,298683.36803600856,141,709506.3680360086,1.9872943728590573
한양대,454475,37.55557788354,127.043584493543,195140.81926014562,129,649615.8192601457,1.985786023011523
이촌,526512,37.521998920847,126.974441709686,176844.03278371866,138,703356.0327837187,1.962019196052239
가양,636619,37.561758032882,126.853997037516,575412.4124696243,235,1212031.4124696243,1.938892042673731
강남구청,807192,37.5182041604522,127.047219143457,241604.67871815572,202,1048796.6787181557,1.926014941670019
상일동,415722,37.5528343493112,127.156848108078,406735.6731804971,158,822457.673180497,1.921069169214357
도봉산,522006,37.688445104073,127.046056388207,220557.67824617217,142,742563.6782461721,1.9122913351518818
회기,840447,37.5904173519961,127.059160733695,1049724.5650636982,359,1890171.5650636982,1.8992974855071068
청량리,1371511,37.5809773543627,127.046992372032,942614.2664016843,439,2314125.2664016844,1.8970442813503707
장한평,575035,37.5621614173248,127.060643724017,476143.7531647831,196,1051178.7531647831,1.8645716815787545
개포동,120405,37.4896709620887,127.069438768259,442471.9992571331,104,562876.9992571331,1.8476472723619612
잠원,214252,37.5130628777554,127.011745498864,126980.7369918854,60,341232.7369918854,1.7583255550557362
신도림,1577496,37.5087389965473,126.891109048536,979239.2052508399,416,2556735.2052508397,1.6270743893939834
신길,384408,37.5163183823639,126.917019739132,585894.9798296319,152,970302.9798296319,1.5665193914456426
강변,818260,37.5353828194655,127.09454513374,454870.5805726023,194,1273130.5805726023,1.523801647530782
구파발,670854,37.637580009726,126.918547710926,586635.1157307819,191,1257489.115730782,1.5188986188491955
월계,206553,37.6350549608173,127.058954676103,123021.30639708857,50,329574.30639708857,1.5171039525563708
당산,1216383,37.5350841820894,126.902845158061,850361.5963814273,302,2066744.5963814273,1.4612345154079842
마들,377073,37.6676176152747,127.057013687941,325352.0378534206,100,702425.0378534206,1.4236374310040538
신내,83997,37.6120569183078,127.109057500177,50564.213577186136,19,134561.21357718614,1.4119862846267333
하계,513024,37.6352528712106,127.068527631771,506096.5779332942,140,1019120.5779332942,1.3737320750671378
월드컵경기장,185563,37.569942569034,126.899033325814,274768.087375849,63,460331.087375849,1.3685772017139912
대치,360706,37.4945271673722,127.063258732024,625000.7089436668,134,985706.7089436668,1.3594293600848577
